"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","N_phys","decay_rate","hidden_dim","lr","strategy","w_phys_init","RMSE_total","RMSE_vx","RMSE_vy","config/N_phys","config/decay_rate","config/hidden_dim","config/lr","config/w_phys_init","done","epoch","iterations_since_restore","pid","time_since_restore","time_this_iter_s","time_total_s","timestamp","train_data","train_phys","training_iteration","val_total","w_phys","trial_name"
"2026-02-09 18:43:29","1.3min","75173097847648869f683b804c9e4f1b","trainable_pinn_ray_9208b_00299","","","unknown","FINISHED","2048","0.034710498820785744","128","0.000597295350187259","physics_cutoff","0.3761299451276271","0.05425777658820152","0.10615035891532898","0.0023651961237192154","2048","0.034710498820785744","128","0.000597295350187259","0.3761299451276271","1","20","20","327516","21.925384759902954","1.2145612239837646","21.925384759902954","1770659088","0.006489948709420259","4.038841247558594","20","0.7960363050408409","0.19450059162607183","trainable_pinn_ray_9208b_00299"
"2026-02-09 18:43:06","1.7min","1bcb0f3eb02743a1b94d231d9502e5b4","trainable_pinn_ray_9208b_00298","","","unknown","FINISHED","1024","0.08335307924880804","128","0.0012235637730087798","physics_cutoff","0.4084589746000739","0.04991655424237251","0.09712445735931396","0.002708648331463337","1024","0.08335307924880804","128","0.0012235637730087798","0.4084589746000739","1","20","20","318284","22.38258719444275","1.2174568176269531","22.38258719444275","1770659090","0.00745623609081151","4.008913516998291","20","0.3401726763621934","0.08382094982485686","trainable_pinn_ray_9208b_00298"
"2026-02-09 18:43:01","1.3min","4070a575cd8e40c9bf9796fdc7aa2780","trainable_pinn_ray_9208b_00297","","","unknown","FINISHED","512","0.07671538118174433","64","0.00040098495233150696","physics_cutoff","0.3277695370984373","0.044624000787734985","0.08670079708099365","0.002547204028815031","512","0.07671538118174433","64","0.00040098495233150696","0.3277695370984373","1","20","20","230712","17.370119094848633","0.8216216564178467","17.370119094848633","1770659059","0.0067300989983543275","4.131141662597656","20","0.32157244493294623","0.07630347553518438","trainable_pinn_ray_9208b_00297"
"2026-02-09 18:42:31","1.0min","82a348016b22411280a48f6166c91b3c","trainable_pinn_ray_9208b_00296","","","unknown","FINISHED","256","0.0836175655370061","64","0.000281870365831124","physics_cutoff","0.5581159350102867","0.053560443222522736","0.10415761917829514","0.002963264938443899","256","0.0836175655370061","64","0.000281870365831124","0.5581159350102867","1","10","10","231760","13.120310544967651","1.4355621337890625","13.120310544967651","1770659011","0.008326345517660582","4.130791187286377","10","1.1088472445122601","0.26296175932582216","trainable_pinn_ray_9208b_00296"
"2026-02-09 18:42:10","3.1min","321d89a8852847009496d8f75208ed70","trainable_pinn_ray_9208b_00295","","","unknown","FINISHED","512","0.09519049354158671","256","0.0001652486980609321","physics_cutoff","0.3416438597536665","0.02624817192554474","0.050409410148859024","0.002086935332044959","512","0.09519049354158671","256","0.0001652486980609321","0.3416438597536665","1","40","40","332744","52.23448061943054","1.4210104942321777","52.23448061943054","1770659113","0.005429996314623784","3.9927494525909424","40","0.03401217338949784","0.008342305363158005","trainable_pinn_ray_9208b_00295"
"2026-02-09 18:41:48","1.3min","2d585a9e2f2e4b3aa17b8eec060b2dd7","trainable_pinn_ray_9208b_00294","","","unknown","FINISHED","256","0.09458379890923586","256","0.0004863237276074731","physics_cutoff","0.47127984597024586","0.07416842132806778","0.14619000256061554","0.0021468419581651688","256","0.09458379890923586","256","0.0004863237276074731","0.47127984597024586","1","10","10","328464","15.960862159729004","1.6692748069763184","15.960862159729004","1770658982","0.009589625573191311","3.990351676940918","10","0.8195193631656987","0.20117956756230052","trainable_pinn_ray_9208b_00294"
"2026-02-09 18:41:44","2.3min","e6f9cbbbe4af40619a8899de64ea748a","trainable_pinn_ray_9208b_00293","","","unknown","FINISHED","1024","0.11890069681933985","256","0.0010232870116694355","physics_cutoff","0.49870674354366773","0.06561192125082016","0.1276787370443344","0.003545105457305908","1024","0.11890069681933985","256","0.0010232870116694355","0.49870674354366773","1","20","20","173944","28.828526496887207","1.071274757385254","28.828526496887207","1770659039","0.008244814961442663","4.039748668670654","20","0.21449086099015754","0.05208645817654761","trainable_pinn_ray_9208b_00293"
"2026-02-09 18:41:31","1.6min","38ad339399754fa788fdcd716ec749c8","trainable_pinn_ray_9208b_00292","","","unknown","FINISHED","512","0.0792027671442663","64","0.0012322258715069445","physics_cutoff","0.5428376144355123","0.03882244974374771","0.07516442984342575","0.0024804675485938787","512","0.0792027671442663","64","0.0012322258715069445","0.5428376144355123","1","20","20","315920","21.74300265312195","1.2597720623016357","21.74300265312195","1770658964","0.006732651655892691","4.0814714431762695","20","0.49933033147117617","0.12053710693102061","trainable_pinn_ray_9208b_00292"
"2026-02-09 18:41:29","3.9min","81e10699ee3d4cd8ae517f71a4a1d2ef","trainable_pinn_ray_9208b_00288","","","unknown","FINISHED","512","0.06246952671995398","64","0.0012547697828068905","physics_cutoff","0.36990937713095084","0.049331992864608765","0.09540984779596329","0.00325413909740746","512","0.06246952671995398","64","0.0012547697828068905","0.36990937713095084","1","50","50","336448","52.1492600440979","1.0760595798492432","52.1492600440979","1770659121","0.005897276539115175","3.9917635917663574","50","0.00007165417475569543","0","trainable_pinn_ray_9208b_00288"
"2026-02-09 18:41:27","1.7min","ee9a575bf994437095577647417caa77","trainable_pinn_ray_9208b_00290","","","unknown","FINISHED","512","0.07065909108635063","64","0.00014531539694377413","physics_cutoff","0.5495437298706292","0.06405889987945557","0.12441600859165192","0.003701787209138274","512","0.07065909108635063","64","0.00014531539694377413","0.5495437298706292","1","10","10","336408","11.965347290039062","1.5660622119903564","11.965347290039062","1770658989","0.0098552635172382","4.1285905838012695","10","1.2148536371511067","0.2909514841396371","trainable_pinn_ray_9208b_00290"
