"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","N_phys","decay_rate","hidden_dim","lr","strategy","w_phys_init","RMSE_total","RMSE_vx","RMSE_vy","config/N_phys","config/decay_rate","config/hidden_dim","config/lr","config/w_phys_init","done","epoch","iterations_since_restore","pid","time_since_restore","time_this_iter_s","time_total_s","timestamp","train_data","train_phys","training_iteration","trial_id","val_total","w_phys","trial_name"
"2026-01-31 15:04:11","1.6min","09079e521bbe4fc58746dd40168d1d6d","trainable_pinn_ray_f33de247","","","unknown","FINISHED","2048","0.04996572177795428","256","0.0004448926132980026","exponential","0.5235836215442421","0.14710594713687897","0.29191020131111145","0.0023017043713480234","2048","0.04996572177795428","256","0.0004448926132980026","0.5235836215442421","1","40","40","176312","65.6969861984253","1.3425719738006592","65.6969861984253","1769868347","0.009738227793751586","4.356372356414795","40","","0.32851296360823856","0.07459202542690706","trainable_pinn_ray_f33de247"
"2026-01-31 15:04:01","1.6min","44ed926f717240acabf085d16085eee6","trainable_pinn_ray_f3f9db02","","","unknown","FINISHED","2048","0.03882370274137511","256","0.00027957858727859397","exponential","0.495431704854879","0.04800904914736748","0.09247352182865143","0.003544575534760952","2048","0.03882370274137511","256","0.00027957858727859397","0.495431704854879","1","40","40","177164","66.9172933101654","1.5695793628692627","66.9172933101654","1769868340","0.006579234936995612","4.876847743988037","40","","0.5322396305045217","0.10899533755502458","trainable_pinn_ray_f3f9db02"
"2026-01-31 15:03:50","43.3s","18aa9740608b42129eead7bad76ba9ce","trainable_pinn_ray_d2eb8516","","","unknown","FINISHED","2048","0.04787482517970306","64","0.0007249169875105534","exponential","0.686600226978449","0.12189587950706482","0.2403704673051834","0.0034212940372526646","2048","0.04787482517970306","64","0.0007249169875105534","0.686600226978449","1","10","10","161628","15.728702545166016","1.4461171627044678","15.728702545166016","1769868272","0.012445713265708858","5.382936954498291","10","","2.382126302327977","0.44624975540847656","trainable_pinn_ray_d2eb8516"
"2026-01-31 15:03:41","59.0s","bb2cb0783aab492d8e74ed14d334142a","trainable_pinn_ray_49c99e59","","","unknown","FINISHED","2048","0.05243712937995564","256","0.0005863035393998358","exponential","0.6927323374397916","0.12185151875019073","0.2385222166776657","0.005180816166102886","2048","0.05243712937995564","256","0.0005863035393998358","0.6927323374397916","1","20","20","195636","36.02431774139404","1.7129871845245361","36.02431774139404","1769868279","0.011772960965191164","4.939601421356201","20","","1.2347858255629063","0.2557852509349305","trainable_pinn_ray_49c99e59"
"2026-01-31 15:03:27","2.1min","fa109a0d4e774f71937fd33c2d4e607c","trainable_pinn_ray_b67380af","","","unknown","FINISHED","512","0.09234558285904346","256","0.0005126251608021941","exponential","0.478329125936344","0.037255965173244476","0.07191421836614609","0.002597715239971876","512","0.09234558285904346","256","0.0005126251608021941","0.478329125936344","1","50","50","193296","77.82560133934021","1.4866001605987549","77.82560133934021","1769868334","0.008676339312636804","4.683061599731445","50","","0.0246027472682347","0.005182903826358847","trainable_pinn_ray_b67380af"
"2026-01-31 15:03:16","2.1min","b4951b0529ef4192a0801e3ced2e0c4f","trainable_pinn_ray_c6700235","","","unknown","FINISHED","2048","0.03523689540672386","256","0.00017547826581825593","exponential","0.6165994310878564","0.04484005272388458","0.08722543716430664","0.002454666653648019","2048","0.03523689540672386","256","0.00017547826581825593","0.6165994310878564","1","40","40","152368","70.6650857925415","1.6290943622589111","70.6650857925415","1769868324","0.006472926038587766","4.199714183807373","40","","0.6634045753916308","0.1560194489023312","trainable_pinn_ray_c6700235"
"2026-01-31 15:03:06","2.0min","2ae8164186364c9cafa4a30655b07b1e","trainable_pinn_ray_3fb197e4","","","unknown","FINISHED","1024","0.07325214082600463","256","0.0003164778281875748","exponential","0.4425967112725993","0.043994273990392685","0.08528843522071838","0.0027001104317605495","1024","0.07325214082600463","256","0.0003164778281875748","0.4425967112725993","1","40","40","193704","67.9286379814148","1.5092899799346924","67.9286379814148","1769868304","0.008803275656030183","4.380280494689941","40","","0.11145328534061377","0.025427353522369585","trainable_pinn_ray_3fb197e4"
"2026-01-31 15:02:54","1.1min","d3a176796a5d471996ba2518d3e26d96","trainable_pinn_ray_a0797266","","","unknown","FINISHED","512","0.0821156822774641","256","0.00020293790132128203","exponential","0.6705356911402612","0.058438900858163834","0.11347822844982147","0.00339957675896585","512","0.0821156822774641","256","0.00020293790132128203","0.6705356911402612","1","20","20","195688","33.641844034194946","1.7261452674865723","33.641844034194946","1769868237","0.0074217561876491435","4.424760818481445","20","","0.6336622935885233","0.1408758447323545","trainable_pinn_ray_a0797266"
"2026-01-31 15:02:39","32.0s","ea30fb2751a94da78019e5fab2b64f24","trainable_pinn_ray_1f2c4ab2","","","unknown","FINISHED","256","0.06237522643446784","128","0.0003614285118095115","exponential","0.6480096871966805","0.08590968698263168","0.16872121393680573","0.0030981639865785837","256","0.06237522643446784","128","0.0003614285118095115","0.6480096871966805","1","10","10","180180","13.190261602401733","1.3778698444366455","13.190261602401733","1769868190","0.011439206810938496","4.553287506103516","10","","1.7292474516427305","0.369639648357228","trainable_pinn_ray_1f2c4ab2"
"2026-01-31 15:02:31","47.0s","3be0a036a7c34c8583443e875c5bb74c","trainable_pinn_ray_fd73f2ff","","","unknown","FINISHED","512","0.06912246785197682","256","0.0001009386653009399","exponential","0.468437179616774","0.06697878986597061","0.13112182915210724","0.002835743362084031","512","0.06912246785197682","256","0.0001009386653009399","0.468437179616774","1","20","20","195548","28.821882009506226","1.2746412754058838","28.821882009506226","1769868197","0.007254059433997158","4.508136749267578","20","","0.5733172037812435","0.1259739469292745","trainable_pinn_ray_fd73f2ff"
