"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","N_phys","decay_rate","hidden_dim","lr","strategy","w_phys_init","RMSE_total","RMSE_vx","RMSE_vy","config/N_phys","config/decay_rate","config/hidden_dim","config/lr","config/w_phys_init","done","epoch","iterations_since_restore","pid","time_since_restore","time_this_iter_s","time_total_s","timestamp","train_data","train_phys","training_iteration","trial_id","val_total","w_phys","trial_name"
"2026-02-09 02:45:41","1.9min","70c846b981cf46c7a93588bca3ee5afd","trainable_pinn_ray_e62d794b","","","unknown","FINISHED","2048","0.1129775765238869","256","0.0001166418962851266","exponential","0.671112352416349","0.0433606319129467","0.0846252590417862","0.0020960024558007717","2048","0.1129775765238869","256","0.0001166418962851266","0.671112352416349","1","40","40","248352","59.21587514877319","1.323246955871582","59.21587514877319","1770601654","0.005109520897554654","4.009450912475586","40","","0.033237481403696374","0.008189157955035935","trainable_pinn_ray_e62d794b"
"2026-02-09 02:45:32","51.5s","ac9d4e2cf2f546038bca32f3e47e4bdf","trainable_pinn_ray_6f06f791","","","unknown","FINISHED","4096","0.1171043425798589","256","0.0006426448070834522","exponential","0.48911857889231625","0.1607823222875595","0.31891465187072754","0.00264999782666564","4096","0.1171043425798589","256","0.0006426448070834522","0.48911857889231625","1","10","10","248400","18.10166096687317","1.7510476112365723","18.10166096687317","1770601583","0.00879612458013599","4.015175819396973","10","","0.6938339507954194","0.17048816306619952","trainable_pinn_ray_6f06f791"
"2026-02-09 02:45:22","1.5min","cfb05969cfe348bcac397f053c714c6f","trainable_pinn_ray_e9a6c3ce","","","unknown","FINISHED","256","0.10544401574178394","256","0.0002828318353734274","exponential","0.6150973082251352","0.03914342075586319","0.0755234882235527","0.002763350261375308","256","0.10544401574178394","256","0.0002828318353734274","0.6150973082251352","1","20","20","172380","28.90265154838562","1.3305087089538574","28.90265154838562","1770601609","0.00696813708899783","3.9754555225372314","20","","0.3369626911839088","0.08295880679751018","trainable_pinn_ray_e9a6c3ce"
"2026-02-09 02:45:13","51.0s","cacc6eff2fd6476cb7381af5325640dc","trainable_pinn_ray_27da4448","","","unknown","FINISHED","256","0.08450539190549579","256","0.00024998584273807896","exponential","0.6312845568837897","0.08556193113327026","0.1685270220041275","0.0025968444533646107","256","0.08450539190549579","256","0.00024998584273807896","0.6312845568837897","1","10","10","59180","15.33511996269226","1.4690141677856445","15.33511996269226","1770601562","0.007229203638064886","3.9853012561798096","10","","1.1943630895014026","0.2950686955553551","trainable_pinn_ray_27da4448"
"2026-02-09 02:45:06","40.9s","4c6298f77e7446ecbf0b909535aa4d79","trainable_pinn_ray_d78472d8","","","unknown","FINISHED","2048","0.09745957677114267","256","0.0016199045728813488","exponential","0.6921338657497769","0.04321056231856346","0.07959053665399551","0.006830589845776558","2048","0.09745957677114267","256","0.0016199045728813488","0.6921338657497769","1","10","10","169584","16.806933641433716","1.664745569229126","16.806933641433716","1770601541","0.01119449060793305","4.031338691711426","10","","1.1691265328918052","0.2879086359681221","trainable_pinn_ray_d78472d8"
"2026-02-09 02:44:54","46.6s","d5a54b43a27147759c1be8204d0b4b0d","trainable_pinn_ray_8683a391","","","unknown","FINISHED","512","0.10065500633693465","64","0.002787743916838704","exponential","0.5296098027527315","0.125520259141922","0.24712717533111572","0.0039133345708251","512","0.10065500633693465","64","0.002787743916838704","0.5296098027527315","1","10","10","150576","13.144452810287476","1.2981843948364258","13.144452810287476","1770601536","0.011910698038616007","4.09952974319458","10","","0.8909535064131393","0.21405766838391305","trainable_pinn_ray_8683a391"
"2026-02-09 02:44:47","2.4min","1a5afe0b1b4e49f28ea9257fc4cc349b","trainable_pinn_ray_10e9f4e9","","","unknown","FINISHED","4096","0.11512885963804123","256","0.00015277286367296647","exponential","0.6470758521575456","0.033233240246772766","0.06375627219676971","0.002710211556404829","4096","0.11512885963804123","256","0.00015277286367296647","0.6470758521575456","1","40","40","238196","67.67506980895996","1.5778436660766602","67.67506980895996","1770601627","0.005925014449824248","4.048767566680908","40","","0.029670460708043873","0.007260422323785606","trainable_pinn_ray_10e9f4e9"
"2026-02-09 02:44:37","2.6min","2c35d3802a0c465690977adffb896020","trainable_pinn_ray_c3f9e133","","","unknown","FINISHED","256","0.10744337058135257","256","0.00013865035260710815","exponential","0.5791153723611095","0.025822486728429794","0.04953613504767418","0.0021088391076773405","256","0.10744337058135257","256","0.00013865035260710815","0.5791153723611095","1","40","40","248704","55.86462473869324","1.318964958190918","55.86462473869324","1770601631","0.005421457078022462","4.005819797515869","40","","0.035619165155589466","0.008768890315151252","trainable_pinn_ray_c3f9e133"
"2026-02-09 02:44:29","3.3min","d8820d76dd9c459e82dd5a55ca16b3da","trainable_pinn_ray_e8127434","","","unknown","FINISHED","1024","0.080509669730863","256","0.0001101730836485971","exponential","0.45444876492697023","0.018618779256939888","0.03502234071493149","0.0022152180317789316","1024","0.080509669730863","256","0.0001101730836485971","0.45444876492697023","1","50","50","246032","69.39928460121155","1.200596570968628","69.39928460121155","1770601663","0.004988006469155211","4.062735557556152","50","","0.03620085444950447","0.008794366640572615","trainable_pinn_ray_e8127434"
"2026-02-09 02:44:20","3.0min","17eba57ad48e4d5f8d427c4c20910162","trainable_pinn_ray_fe6d23dd","","","unknown","FINISHED","256","0.10333395611555378","256","0.00010019501373949432","exponential","0.5934556788377444","0.016307761892676353","0.030519630759954453","0.002095891395583749","256","0.10333395611555378","256","0.00010019501373949432","0.5934556788377444","1","50","50","243212","68.89030647277832","1.2282631397247314","68.89030647277832","1770601639","0.0050110616411397895","3.999093770980835","50","","0.015307528295346557","0.003753161997368861","trainable_pinn_ray_fe6d23dd"
"2026-02-09 02:44:11","2.7min","9ae0d67973364840817af65c5e1ffb22","trainable_pinn_ray_4cff04e7","","","unknown","FINISHED","2048","0.09569570561146985","256","0.00019465339476242206","exponential","0.6587771636067172","0.025416642427444458","0.048490725457668304","0.002342561259865761","2048","0.09569570561146985","256","0.00019465339476242206","0.6587771636067172","1","40","40","193560","62.012866735458374","1.4620389938354492","62.012866735458374","1770601614","0.00532105257133803","4.002407073974609","40","","0.06387820842594841","0.01577226180506023","trainable_pinn_ray_4cff04e7"
