"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","N_phys","decay_rate","hidden_dim","lr","w_data_init","w_phys_init","config/N_phys","config/decay_rate","config/hidden_dim","config/lr","config/w_data_init","config/w_phys_init","done","epoch","iterations_since_restore","pid","time_since_restore","time_this_iter_s","time_total_s","timestamp","train_data","train_phys","train_total","training_iteration","trial_id","val_data","val_phys","val_total","trial_name"
"2025-11-20 14:50:28","8.2min","fc5566efdd404028b4d40def60c36356","trainable_pinn_ray_7a757950","","","unknown","FINISHED","345","0.09615969932959463","128","0.008473704466722815","0.544546652603305","0.051047790706564414","345","0.09615969932959463","128","0.008473704466722815","0.544546652603305","0.051047790706564414","0","50","1","28640","486.6526470184326","486.6526470184326","486.6526470184326","1763647115","0.009415394326464998","1.0410202301511862","0.005604778873179146","1","","0.00455854218687698","2.875206528204662","0.0038015864001637485","trainable_pinn_ray_7a757950"
"2025-11-20 14:50:50","9.6min","7623c164b2ca430c9f59d5a173ecc215","trainable_pinn_ray_628045ed","","","unknown","FINISHED","352","0.09593457058892416","128","0.008407353117996333","0.7225067796093929","0.05281145985039118","352","0.09593457058892416","128","0.008407353117996333","0.7225067796093929","0.05281145985039118","0","50","1","8668","486.9453868865967","486.9453868865967","486.9453868865967","1763647138","0.01187116838803496","1.5497839000489977","0.009320823840721689","1","","0.0032977613905302242","3.3036731045252994","0.003968264916283514","trainable_pinn_ray_628045ed"
"2025-11-20 15:09:22","5.6min","9b2e298d6ca84ae083d04b1e24d72347","trainable_pinn_ray_89965229","","","unknown","FINISHED","391","0.09431270581369434","128","0.00763263093118726","0.41824695666393014","0.12859515913515385","391","0.09431270581369434","128","0.00763263093118726","0.41824695666393014","0.12859515913515385","0","50","1","43492","332.89321208000183","332.89321208000183","332.89321208000183","1763648095","0.00992724583531269","0.5907826754179868","0.004899585555128828","1","89965229","0.004123088571117431","1.779432958416018","0.003976069831609526","trainable_pinn_ray_89965229"
"2025-11-20 15:08:59","5.9min","2469080b9cc749dbac9e69cbfb702d2b","trainable_pinn_ray_42e520e6","","","unknown","FINISHED","390","0.09482606843460561","128","0.007874178020480202","0.40141039427086334","0.10072737271044047","390","0.09482606843460561","128","0.007874178020480202","0.40141039427086334","0.10072737271044047","0","50","1","19692","348.4928638935089","348.4928638935089","348.4928638935089","1763648088","0.010516171448045607","0.8540684815007027","0.005046769525065567","1","","0.0030998470594531366","2.9119158770234166","0.004058717529597926","trainable_pinn_ray_42e520e6"
"2025-11-20 14:51:52","8.6min","95ff16a9f185457086174a660805d22f","trainable_pinn_ray_fa2e1677","","","unknown","FINISHED","417","0.08452329866319636","128","0.006343060500707416","0.5236347473696353","0.05166236958326213","417","0.08452329866319636","128","0.006343060500707416","0.5236347473696353","0.05166236958326213","0","50","1","26148","477.2769024372101","477.2769024372101","477.2769024372101","1763647190","0.010089566070360668","1.1574785226523274","0.006233841452672325","1","","0.003282092166449551","3.2877460395224842","0.0044187214100126415","trainable_pinn_ray_fa2e1677"
"2025-11-20 14:14:51","12.4min","56394bcda90749039a978fe95479cf2b","trainable_pinn_ray_a1dc4715","","","unknown","FINISHED","335","0.09228184692973498","32","0.007548384993576566","0.6071278914339538","0.11911435937560833","335","0.09228184692973498","32","0.007548384993576566","0.6071278914339538","0.11911435937560833","0","50","1","41576","737.9589321613312","737.9589321613312","737.9589321613312","1763645229","0.009570419243678","0.6372210425559921","0.006635474127651465","1","","0.003910333397326666","1.923832778284804","0.004864845136731744","trainable_pinn_ray_a1dc4715"
"2025-11-20 14:28:47","7.1min","d9e3f1868cc942beb645bc0d8d434280","trainable_pinn_ray_cb0d5ed8","","","unknown","FINISHED","246","0.08542670333670972","64","0.0021102855487701885","0.4649795435261278","0.08014863536221081","246","0.08542670333670972","64","0.0021102855487701885","0.4649795435261278","0.08014863536221081","0","50","1","43200","416.9647960662842","416.9647960662842","416.9647960662842","1763645744","0.007827605467026282","0.7848984074713004","0.004596413439139723","1","","0.003931152279530595","2.492072703515418","0.004865570503188825","trainable_pinn_ray_cb0d5ed8"
"2025-11-20 14:52:40","7.9min","aec260eacb084a9cb75b02405989a525","trainable_pinn_ray_b8011073","","","unknown","FINISHED","426","0.09625533432052291","128","0.008139097576652408","0.525998914324905","0.10085082156038139","426","0.09625533432052291","128","0.008139097576652408","0.525998914324905","0.10085082156038139","0","50","1","7316","466.8986876010895","466.8986876010895","466.8986876010895","1763647227","0.009901626896338932","0.7474471470322271","0.005882625338254553","1","","0.004994469909444458","2.527857438631635","0.004907832954997733","trainable_pinn_ray_b8011073"
"2025-11-20 14:46:21","8.3min","d78a97927d54421988421ae0a51bcbc6","trainable_pinn_ray_a4bd5de1","","","unknown","FINISHED","417","0.09622754689790013","128","0.008583780518707219","0.6958953900941813","0.05041715103385012","417","0.09622754689790013","128","0.008583780518707219","0.6958953900941813","0.05041715103385012","0","50","1","37632","488.9877710342407","488.9877710342407","488.9877710342407","1763646871","0.009627042872586635","0.9537421024206912","0.00713018486182196","1","","0.005782271726123193","2.670979477830167","0.005230239529933884","trainable_pinn_ray_a4bd5de1"
"2025-11-20 15:07:23","6.6min","265883b0b4884c6d83ce971a9e5a330e","trainable_pinn_ray_fb5939f0","","","unknown","FINISHED","403","0.09510527319359241","128","0.006578401135981249","0.7289925382393552","0.10257509524489741","403","0.09510527319359241","128","0.006578401135981249","0.7289925382393552","0.10257509524489741","0","50","1","43128","389.6595034599304","389.6595034599304","389.6595034599304","1763648032","0.00916711799141885","0.7224781065878242","0.007384192411119889","1","","0.004755985156766485","1.895321446811775","0.005307187472308262","trainable_pinn_ray_fb5939f0"
